Year,Week,Day,Date,Holiday,Kickoff,Type,Time,Hour,AwayPrime,After7,MLBReg,MLBPlay,NHLReg,NHLPlay,NBAReg,NBAPlay,NFL,Away,Home,PctMarket,Away2,Home2,Away3,Home3,AwayPop,HomePop,Market,Round,TV,Rating,Viewers,,
2005,,Sat,1/8/05,0,0,National,8:00 PM,8,0.5,1,0,0,0,0,1,0,0,NYJ,SD,,,,,,23484225,3211252,26695477,WC,ABC,16,25763000,,
2005,,Sun,1/9/05,0,0,National,1:00 PM,1,7.5,0,0,0,0,0,1,0,0,DEN,IND,,,,,,3277309,2336237,5613546,WC,CBS,16.3,24946000,,
2005,,Sun,1/9/05,0,0,National,4:30 PM,4.5,4,0,0,0,0,0,1,0,0,MIN,GB,,,,,,3797883,2040498,5838381,WC,FOX,18.4,30099000,,
2005,,Sat,1/15/05,0,0,National,4:30 PM,4.5,4,0,0,0,0,0,1,0,0,NYJ,PIT,,,,,,23484225,2360867,25845092,DIV,CBS,18.2,29401000,,
2005,,Sat,1/15/05,0,0,National,8:00 PM,8,0.5,1,0,0,0,0,1,0,0,STL,ATL,,,,,,2810056,6162195,8972251,DIV,FOX,14,23700000,,
2005,,Sun,1/16/05,0,0,National,1:00 PM,1,7.5,0,0,0,0,0,1,0,0,MIN,PHI,,,,,,3797883,7146706,10944589,DIV,FOX,19.4,29968000,,
2005,,Sun,1/16/05,0,0,National,4:30 PM,4.5,4,0,0,0,0,0,1,0,0,IND,NE,,,,,,2336237,8041303,10377540,DIV,CBS,23.2,37980000,,
2005,,Sun,1/23/05,0,0,National,3:00 PM,3,5.5,0,0,0,0,0,1,0,0,ATL,PHI,,,,,,6162195,7146706,13308901,CC,FOX,25.8,42937000,,
2005,,Sun,1/23/05,0,0,National,6:30 PM,6.5,2,0,0,0,0,0,1,0,0,NE,PIT,,,,,,8041303,2360867,10402170,CC,CBS,25.8,44334000,,
2005,,Sun,2/6/05,0,0,National,6:30 PM,6.5,2,0,0,0,0,0,1,0,0,NE,PHI,,,,,,8041303,7146706,15188009,SB,FOX,41.1,86072000,,
2004,,Sat,1/3/04,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,TEN,BAL,,,,,,1876933,2770738,4647671,WC,ABC,14.6,22654000,,
2004,,Sat,1/3/04,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,DAL,CAR,,,,,,7206144,2493040,9699184,WC,ABC,15.4,24664000,,
2004,,Sun,1/4/04,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,1,0,0,SEA,GB,,,,,,3610105,2040498,5650603,WC,FOX,19.1,29313000,,
2004,,Sun,1/4/04,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,DEN,IND,,,,,,3277309,2336237,5613546,WC,CBS,16.5,26150000,,
2004,,Sat,1/10/04,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,CAR,STL,,,,,,2493040,2810056,5303096,DIV,FOX,16.6,25362000,,
2004,,Sat,1/10/04,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,TEN,NE,,,,,,1876933,8041303,9918236,DIV,CBS,15.9,25915000,,
2004,,Sun,1/11/04,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,1,0,0,IND,KC,,,,,,2336237,2054473,4390710,DIV,CBS,19.7,30458000,,
2004,,Sun,1/11/04,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,GB,PHI,,,,,,2040498,7146706,9187204,DIV,FOX,23.8,39487000,,
2004,,Sun,1/18/04,0,0,National,3:00 PM,3,5.5,0,0,0,1,0,1,0,0,IND,NE,,,,,,2336237,8041303,10377540,CC,CBS,24.7,40115000,,
2004,,Sun,1/18/04,0,0,National,6:30 PM,6.5,2,0,0,0,1,0,1,0,0,CAR,PHI,,,,,,2493040,7146706,9639746,CC,FOX,23.2,40444000,,
2004,,Sun,2/1/04,0,0,National,6:30 PM,6.5,2,0,0,0,1,0,1,0,0,NE,CAR,,,,,,8041303,2493040,10534343,SB,CBS,41.4,89795000,,
2003,,Sat,1/4/03,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,IND,NYJ,,,,,,2336237,23484225,25820462,WC,ABC,13,19663000,,
