Year,Date,Day,Holiday,Clock,Time,AwayPrime,Window,Past7,NBAPlay,NHLReg,NHLPlay,MLBReg,MLBPlay,NFL,CF,Away,Home,AwayPop,HomePop,Market,Round,Game,WT,LT,Dif,Leverage,TV,Rating,Viewers
2014,1/26/14,Sun,0,0.541666667,1,7.5,1,0,0,1,0,0,0,0,0,Spurs,Heat,2277550,6447610,8725160,RS,,,,,,ABC,,3550000
2014,1/26/14,Sun,0,0.770833333,6.5,2,2,0,0,1,0,0,0,0,0,Nets,Celtics,23484225,8041303,31525528,RS,,,,,,ESPN,,1520000
2012,1/27/12,Fri,0,0.833333333,8,0.5,3,1,0,0,0,0,0,0,0,Knicks,Heat,23484225,6447610,29931835,RS,,,,,,ESPN,,2286000
2013,1/27/13,Sun,0,0.645833333,3.5,5,1,0,0,1,0,0,0,0,0,Thunder,Lakers,1390835,18351929,19742764,RS,,,,,,ABC,,6330000
2013,1/27/13,Sun,0,0.541666667,1,7.5,1,0,0,1,0,0,0,0,0,Heat,Celtics,6447610,8041303,14488913,RS,,,,,,ABC,,4618000
2013,1/27/13,Sun,0,0.770833333,6.5,2,2,0,0,1,0,0,0,0,0,Hawks,Knicks,6162195,23484225,29646420,RS,,,,,,ESPN,,1544000
2012,1/29/12,Sun,0,0.645833333,3.5,5,1,0,0,0,0,0,0,0,0,Bulls,Heat,9912730,6447610,16360340,RS,,,,,,ABC,,5699000
2012,1/29/12,Sun,0,0.770833333,6.5,2,2,0,0,0,0,0,0,0,0,Spurs,Mavs,2277550,7206144,9483694,RS,,,,,,ESPN,,1408000
2014,1/29/14,Wed,0,0.791666667,7,1.5,3,1,0,1,0,0,0,0,0,Thunder,Heat,1390835,6447610,7838445,RS,,,,,,ESPN,,3860000
2014,1/29/14,Wed,0,0.895833333,9.5,1,3,1,0,1,0,0,0,0,0,Bulls,Spurs,9912730,2277550,12190280,RS,,,,,,ESPN,,2040000
2013,1/30/13,Wed,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Lakers,Suns,18351929,4398762,22750691,RS,,,,,,ESPN,,2431000
2013,1/30/13,Wed,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Heat,Nets,6447610,23484225,29931835,RS,,,,,,ESPN,,2003000
2014,1/30/14,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Clippers,Warriors,18351929,8469854,26821783,RS,,,,,,TNT,,1600000
2014,1/30/14,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Cavs,Knicks,3501538,23484225,26985763,RS,,,,,,TNT,,1380000
2013,1/31/13,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Grizzlies,Thunder,1369006,1390835,2759841,RS,,,,,,TNT,,1612000
2013,1/31/13,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Mavs,Warriors,7206144,8469854,15675998,RS,,,,,,TNT,,1220000
2014,1/31/14,Fri,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Thunder,Nets,1390835,23484225,24875060,RS,,,,,,ESPN,,1710000
2014,1/31/14,Fri,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Warriors,Jazz,8469854,2389225,10859079,RS,,,,,,ESPN,,1410000
2012,2/1/12,Wed,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Clippers,Jazz,18351929,2389225,20741154,RS,,,,,,ESPN,,2039000
2012,2/1/12,Wed,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Thunder,Mavs,1390835,7206144,8596979,RS,,,,,,ESPN,,1889000
2013,2/1/13,Fri,0,0.895833333,9.5,1,3,1,0,1,0,0,0,0,0,Lakers,Wolves,18351929,3797883,22149812,RS,,,,,,ESPN,,2032000
2013,2/1/13,Fri,0,0.791666667,7,1.5,3,1,0,1,0,0,0,0,0,Heat,Pacers,6447610,2336237,8783847,RS,,,,,,ESPN,,1639000
2014,2/1/14,Sat,0,0.854166667,8.5,0,3,1,0,1,0,0,0,0,0,Heat,Knicks,6447610,23484225,29931835,RS,,,,,,ESPN,,2650000
2012,2/2/12,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Bulls,Knicks,9912730,23484225,33396955,RS,,,,,,TNT,,2349000
2012,2/2/12,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Nuggets,Clippers,3277309,18351929,21629238,RS,,,,,,TNT,,1942000
2012,2/3/12,Fri,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Lakers,Nuggets,18351929,3277309,21629238,RS,,,,,,ESPN,,2535000
2012,2/3/12,Fri,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Knicks,Celtics,23484225,8041303,31525528,RS,,,,,,ESPN,,2195000
2014,2/5/14,Wed,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Heat,Clippers,6447610,18351929,24799539,RS,,,,,,ESPN,,2560000
2014,2/5/14,Wed,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Blazers,Knicks,3022178,23484225,26506403,RS,,,,,,ESPN,,1700000
