Year,Date,Day,Time,Hour,AwayPrime,After7,Overlap,NHLReg,NHLPlay,NBAReg,NBAPlay,CF,NFL,Soccer,Away1,Home1,Share1,Away2,Home2,Share2,Away3,Home3,Share3,Away4,Home4,Share4,Away5,Home5,Share5,TOTAL,AwayPop,HomePop,Market,Round,Game,WT,LT,DIF,Leverage,TV,Rating,Share,KeyDemo,Viewers
2011,6/25/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,NYM,TEX,0.5,CLE,SF,0.31,WSH,CHW,0.12,LAA,LAD,0.06,,,,0.99,15061886.62,8519370.08,23581256.7,RS,,,,,,FOX,1.4,,,2160000
2011,7/2/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,NYY,NYM,0.79,CHW,CHC,0.1,CLE,CIN,0.1,,,,,,,0.99,19893964.55,19763473.65,39657438.2,RS,,,,,,FOX,2,,,3018000
2011,7/9/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,ATL,PHI,0.76,MIN,CHW,0.16,SD,LAD,0.07,,,,,,,0.99,5515717.12,8302168.39,13817885.51,RS,,,,,,FOX,1.9,,,2863000
2011,7/16/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,BOS,TB,0.41,PHI,NYM,0.25,LAA,OAK,0.18,CHW,DET,0.15,,,,0.99,9873867.45,9369687.71,19243555.16,RS,,,,,,FOX,1.9,,,2784000
2011,7/23/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,ATL,CIN,0.45,SD,PHI,0.34,DET,MIN,0.2,,,,,,,0.99,4927646.03,4177939.69,9105585.72,RS,,,,,,FOX,1.8,,,2863000
2011,7/30/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,CHC,STL,0.5,LAA,DET,0.26,TB,SEA,0.23,,,,,,,0.99,10388097.41,3812436.09,14200533.5,RS,,,,,,FOX,1.6,,,2438000
2011,8/6/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,NYY,BOS,0.81,PHI,SF,0.18,,,,,,,,,,0.99,20308629.33,8038029.15,28346658.48,RS,,,,,,FOX,2.8,,,4101000
2011,8/13/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,TB,NYY,0.63,TEX,OAK,0.2,PIT,MIL,0.16,,,,,,,0.99,3627425.99,16815512.23,20442938.22,RS,,,,,,FOX,1.7,,,2793000
2011,8/20/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,STL,CHC,0.47,MIL,NYM,0.45,CIN,PIT,0.07,,,,,,,0.99,2392714.45,15392145.04,17784859.49,RS,,,,,,FOX,1.5,,,2372000
2011,8/27/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,DET,MIN,0.61,PIT,STL,0.28,COL,LAD,0.1,,,,,,,0.99,4230413.09,4938717.21,9169130.3,RS,,,,,,FOX,1.1,,,1685000
